current_time,temp,humidity,main
2026-03-05 05:39:20,10.38,23,Clouds
2026-03-05 06:07:59,11.76,43,Haze
2026-03-05 07:09:00,10.48,36,Clouds
2026-03-05 07:54:00,8.87,57,Clouds
2026-03-05 08:34:44,10.76,46,Haze
2026-03-05 09:24:40,6.76,76,Rain
2026-03-05 10:06:30,6.76,76,Rain
2026-03-05 10:58:49,4.76,93,Rain
2026-03-05 11:40:28,3.74,92,Rain
2026-03-05 12:02:06,3.76,93,Rain
2026-03-05 13:22:28,-0.24,100,Snow
2026-03-05 14:10:43,-0.24,100,Snow
2026-03-05 15:05:48,0.76,100,Snow
2026-03-05 16:00:22,2.3,96,Rain
2026-03-05 18:13:38,0.76,100,Mist
2026-03-05 19:36:22,2.6,74,Clouds
2026-03-05 20:07:25,-0.24,100,Mist
2026-03-05 20:52:21,-0.24,100,Mist
2026-03-05 21:25:15,2.67,74,Clouds
2026-03-05 21:57:24,0.76,100,Mist
2026-03-05 22:36:16,0.76,100,Mist
2026-03-05 23:39:56,1.76,93,Mist
2026-03-06 00:58:43,1.76,93,Mist
2026-03-06 03:30:06,3.22,61,Clouds
2026-03-06 04:57:49,3.76,75,Haze
2026-03-06 05:50:46,3.76,70,Mist
2026-03-06 06:30:32,2.76,75,Clouds
2026-03-06 07:25:15,4.26,45,Clouds
2026-03-06 07:57:44,2.76,70,Haze
2026-03-06 08:45:52,3.31,46,Rain
2026-03-06 09:23:52,3.31,46,Clouds
2026-03-06 10:01:16,2.76,65,Haze
2026-03-06 10:50:08,0.76,75,Haze
2026-03-06 11:17:29,1.76,64,Clouds
2026-03-06 11:46:08,0.88,43,Clouds
2026-03-06 12:02:06,0.88,43,Clouds
2026-03-06 13:17:45,-0.24,69,Clouds
2026-03-06 14:03:45,0.16,40,Clear
2026-03-06 14:52:47,-0.24,64,Clouds
2026-03-06 15:28:43,-1.24,69,Clear
2026-03-06 16:02:49,-1.24,69,Clear
2026-03-06 16:56:17,-0.93,35,Clear
2026-03-06 17:36:09,-1.24,69,Clear
2026-03-06 18:03:54,-1.24,69,Clear
2026-03-06 19:00:57,-3.24,80,Clear
2026-03-06 19:40:25,-3.24,80,Clear
2026-03-06 20:00:06,-1.4,34,Clear
2026-03-06 20:42:53,-3.24,80,Clear
2026-03-06 21:03:03,-1.48,34,Clear
2026-03-06 21:39:17,-1.45,33,Clear
2026-03-06 21:57:54,-3.24,68,Clear
2026-03-06 22:34:56,-3.24,68,Clear
2026-03-06 22:59:20,-3.24,68,Clear
2026-03-06 23:35:58,-1.36,32,Clear
2026-03-06 23:55:18,-1.24,59,Clear
2026-03-07 01:51:28,0.76,47,Clear
2026-03-07 03:49:31,2.76,38,Clear
2026-03-07 04:52:13,4.4,16,Clear
2026-03-07 05:32:18,4.76,36,Clear
2026-03-07 06:01:48,4.76,36,Clear
2026-03-07 06:55:44,4.82,17,Clear
2026-03-07 07:28:11,4.76,33,Clear
2026-03-07 07:50:16,4.76,33,Clear
2026-03-07 08:01:13,4.76,33,Clear
2026-03-07 08:44:56,4.76,30,Clear
2026-03-07 09:03:31,4.76,30,Clear
2026-03-07 09:39:35,3.2,21,Clear
2026-03-07 09:56:08,3.2,21,Clear
2026-03-07 10:25:00,1.76,41,Clear
2026-03-07 10:48:16,2.61,23,Clear
2026-03-07 11:00:36,2.61,23,Clear
2026-03-07 11:29:44,-0.24,51,Clear
2026-03-07 11:46:18,1.86,26,Clear
2026-03-07 11:56:51,-0.24,51,Clear
